MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating,num_vendors,num_transactions,total_expenditure_ledger,top_vendor,top_vendor_share_pct,vendor_hhi,round_amount_txn_pct,payment_inprogress_pct,same_day_same_vendor_clusters,completed_count,avg_cost_zscore,high_cost_outlier_count,no_image_pct,no_rating_pct,round_amount_pct,max_desc_repeat,max_amount_repeat,pending_payment_ratio,util_completion_gap,unpaid_balance_pct,rule_score_raw,ml_anomaly_score,rule_score_scaled,risk_score,risk_level,reasons_text,checklist_text
DINESHBHAI MAKWANA,AHMEDABAD WEST,Gujarat,Lok Sabha,160434965.11,89841605.0,25122452.0,56.0,2,207,0.97,64719153.0,4,4,0,,3.0,4.0,25122452.0,LABMEDICA SYSTEMS PVT LTD,63.69,53.4,75.0,0.0,0.0,2.0,3.4421085167525223,1.0,0.0,100.0,50.0,1.0,1.0,0.0,55.03,257.61479412917174,30,42.2,36.6,38.8,Low,Funds utilization (56%) is far ahead of physical completion (1%) — a gap of 55 points. | 258% of expenditure is still an unpaid balance to vendors.,Confirm vendor payment schedule and reasons for outstanding dues. | Verify that advance/interim payments correspond to actual physical progress on site.
Shri Ryaga Krishnaiah (2024-28),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,170413583.79,149057484.0,61002205.0,87.47,30,71,42.25,88055279.0,38,37,1,,11.0,38.0,61002205.0,SRI NELCO ENTERPRISES,29.6,17.02,0.0,2.63,6.0,30.0,0.9334258184294121,2.0,3.33,100.0,0.0,1.0,2.0,2.631578947368421,45.22,144.34769857909237,50,5.3,61.0,38.7,Low,Funds utilization (87%) is far ahead of physical completion (42%) — a gap of 45 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 2 completed works cost far above the average for their work category (statistical outliers). | 144% of expenditure is still an unpaid balance to vendors.,Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
KRISHNA DEVI SHIVSHANKER PATEL,BANDA,Uttar Pradesh,Lok Sabha,147000000.0,126612939.12,76835226.67,86.13,202,442,45.7,49777712.45,352,329,23,,16.0,352.0,76835226.66999999,DHARMENDRA ENTERPRISES,44.28,29.64,0.0,6.53,29.0,202.0,-0.3070125686012391,0.0,0.5,100.0,0.0,1.0,71.0,6.534090909090909,40.42999999999999,64.78501412352247,46,12.5,56.1,38.7,Low,Funds utilization (86%) is far ahead of physical completion (46%) — a gap of 40 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 71 separate completed works. | 65% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Dr Chandra Sekhar Pemmasani,GUNTUR,Andhra Pradesh,Lok Sabha,159774113.11,95101846.0,39657891.0,59.52,9,96,9.38,55443955.0,46,44,2,,31.0,46.0,39657891.0,M Butchaiah and Company,12.46,7.03,2.17,4.35,5.0,9.0,0.727904029285901,2.0,0.0,100.0,0.0,1.0,1.0,4.3478260869565215,50.14,139.80560640504055,50,5.1,61.0,38.6,Low,Funds utilization (60%) is far ahead of physical completion (9%) — a gap of 50 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 2 completed works cost far above the average for their work category (statistical outliers). | 140% of expenditure is still an unpaid balance to vendors.,Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Ramesh Chandappa Jigajinagi,BIJAPUR,Karnataka,Lok Sabha,269500000.0,141386000.0,24205222.0,52.46,0,361,0.0,117180778.0,123,115,8,,40.0,123.0,24205222.0,SUNIL SABAVVA SANDRIMANI,9.69,4.21,2.44,6.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.504065040650407,52.46,484.11362639020626,30,41.6,36.6,38.6,Low,Funds utilization (52%) is far ahead of physical completion (0%) — a gap of 52 points. | 484% of expenditure is still an unpaid balance to vendors.,Confirm vendor payment schedule and reasons for outstanding dues. | Verify that advance/interim payments correspond to actual physical progress on site.
ARUN NEHRU,PERAMBALUR,Tamil Nadu,Lok Sabha,147000000.0,107833157.0,69561568.0,73.36,54,82,65.85,38271589.0,82,81,1,,45.0,82.0,69561568.0,KSR CONSTRUCTIONS,6.76,3.61,2.44,1.22,6.0,54.0,0.5367046971913154,3.0,68.52,100.0,1.85,1.0,1.0,1.2195121951219512,7.510000000000005,55.018295447279165,40,23.3,48.8,38.6,Low,69% of completed works have no geo/photo evidence uploaded. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 3 completed works cost far above the average for their work category (statistical outliers). | 55% of expenditure is still an unpaid balance to vendors.,Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Request site photographs / geo-tagged images for works missing visual evidence.
KISHORI LAL,AMETHI,Uttar Pradesh,Lok Sabha,171500000.0,89977309.0,82481354.0,52.46,19,52,36.54,7495955.0,75,71,4,,16.0,75.0,82481354.0,AADI AND RUDRANSH CONSTRUCTION COMPANY,69.48,49.45,4.0,5.33,14.0,19.0,1.103913891278166,3.0,5.26,100.0,5.26,1.0,3.0,5.333333333333334,15.920000000000002,9.088060072340713,38,26.7,46.3,38.5,Low,Vendor concentration is high (HHI=49); top vendor 'AADI AND RUDRANSH CONSTRUCTION COMPANY' handles 69% of spend. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | 3 completed works cost far above the average for their work category (statistical outliers).,Check whether the dominant vendor was selected through fair/competitive process across multiple works. | Compare quoted cost of outlier works with category benchmark / schedule of rates (SOR). | Cross-check beneficiary feedback mechanism / conduct spot citizen verification.
Faggan Singh Kulaste,MANDLA,Madhya Pradesh,Lok Sabha,151861648.41,93644136.0,55170668.0,61.66,31,298,10.4,38473468.0,290,286,4,,164.0,290.0,55170668.0,MP STATE AGRO,4.35,1.18,55.17,1.38,23.0,31.0,-0.020045045602976957,0.0,0.0,100.0,48.39,1.0,11.0,1.3793103448275863,51.26,69.7353673513614,46,12.1,56.1,38.5,Low,Funds utilization (62%) is far ahead of physical completion (10%) — a gap of 51 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The exact same rupee amount appears on 11 separate completed works. | 70% of expenditure is still an unpaid balance to vendors.,Check for templated/cookie-cutter billing rather than work-specific costing. | Confirm vendor payment schedule and reasons for outstanding dues. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site.
Sribharat MathuKumli,VISAKHAPATNAM,Andhra Pradesh,Lok Sabha,164841922.0,84715000.0,13181176.0,51.39,0,40,0.0,71533824.0,18,15,3,,11.0,18.0,13181176.0,SHAIK SARDAR,24.26,13.41,0.0,16.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,51.39,542.696827657866,30,40.8,36.6,38.3,Low,Funds utilization (51%) is far ahead of physical completion (0%) — a gap of 51 points. | 543% of expenditure is still an unpaid balance to vendors.,Confirm vendor payment schedule and reasons for outstanding dues. | Verify that advance/interim payments correspond to actual physical progress on site.
SUKHDEO BHAGAT,LOHARDAGA,Jharkhand,Lok Sabha,171821957.11,159064623.0,138586757.0,92.58,90,284,31.69,20477866.0,358,358,0,,9.0,358.0,138586757.0,RAJEEV RANJAN JUNIOR ENGINEER,40.31,24.93,42.18,0.0,39.0,90.0,0.03350638946924835,0.0,23.33,100.0,40.0,30.0,30.0,0.0,60.89,14.776206935847414,44,15.0,53.7,38.2,Low,Funds utilization (93%) is far ahead of physical completion (32%) — a gap of 61 points. | Almost none of the completed works have received citizen/beneficiary feedback ratings. | The same work description text is reused 30 times. | The exact same rupee amount appears on 30 separate completed works.,Check for templated/cookie-cutter billing rather than work-specific costing. | Cross-check beneficiary feedback mechanism / conduct spot citizen verification. | Verify that advance/interim payments correspond to actual physical progress on site. | Verify these are genuinely distinct works and not duplicate/split entries.
